all CCC having p-value<0.05,
,
Diffuse-type,Cell-cell contact type
WNT4-LRP5,FCER2-CR2
WNT2-FZD4,CD22-PTPRC
WNT2-LRP5,SELE-CD44
WNT2-LRP6,PTPRC-CD22
WNT4-LRP5,THY1-ITGAX
WNT2-LRP5,SELPLG-SELL
WNT2B-FZD7,FCER2-ITGB2
WNT4-LRP5,FCER2-ITGB2
WNT4-LRP5,APP-CD74
WNT4-LRP5,THY1-ITGB2
WNT2B-FZD4,THY1-ITGB2
WNT2-LRP6,SELE-GLG1
TGFA-EGFR,LCK-CD8A
WNT2-LRP6,SIGLEC1-SPN
WNT2-LRP6,PECAM1-PECAM1
WNT2B-FZD1,LCK-CD8B
NRG2-ERBB2,SEMA4A-PLXNB2
WNT2B-FZD6,MADCAM1-ITGA4
WNT2B-FZD2,FCER2-ITGAX
GDF7-ACVR2A,ICAM1-ITGAX
WNT2B-LRP5,F11R-ITGB2
WNT2B-FZD3,MADCAM1-ITGB7
WNT10A-FZD4,SEMA7A-ITGB1
WNT16-LRP6,GP1BA-ITGB2
WNT4-FZD3,DLL1-NOTCH2
WNT4-LRP5,SEMA4D-CD72
WNT3-LRP5,THY1-ITGAV
BMP4-ACVR2A,CADM3-CADM3
WNT2-FZD8,ICAM1-ITGB2
WNT2-FZD9,ICAM1-ITGB2
WNT4-FZD1,ICAM1-ITGB2
WNT16-FZD9,CD40LG-CD40
CCL1-ACKR1,ICAM2-ITGB2
CCL14-ACKR1,ICAM2-ITGB2
BMP6-BMPR1A,JAG1-NOTCH3
WNT4-LRP5,PDCD1LG2-PDCD1
WNT10A-FZD8,DLL1-NOTCH1
WNT4-FZD10,NECTIN1-CADM3
WNT2B-LRP5,ICAM2-ITGAL
WNT4-FZD5,CDH1-ITGAE
WNT10B-LRP6,CD86-CTLA4
WNT10B-LRP5,JAM3-ITGB2
WNT10A-LRP6,JAG2-NOTCH3
WNT10A-LRP6,SEMA4A-PLXNA1
WNT10A-LRP6,ICAM1-ITGAL
WNT10B-LRP6,ICAM1-ITGAL
WNT10B-LRP6,F11R-ITGAL
WNT2B-LRP5,DLL1-NOTCH3
WNT9B-LRP5,SEMA5B-PLXNA1
WNT10B-LRP5,SELE-CEACAM1
WNT2B-FZD10,JAG2-NOTCH2
BMP4-ACVR2A,DSG2-DSC3
WNT10A-LRP6,L1CAM-ITGAV
WNT10B-FZD9,L1CAM-ITGB7
WNT2-FZD5,EFNB3-EPHB2
BMP2-BMPR2,DSC2-DSG2
WNT3-LRP5,ICOSLG-CTLA4
WNT10A-FZD9,JAG1-NOTCH2
WNT1-LRP6,EFNA1-EPHA1
WNT2B-FZD10,JAG2-NOTCH1
RETN-TLR4,ALCAM-CD6
SEMA3C-PLXNA4,SEMA6D-TYROBP
WNT10B-FZD3,CSPG4-ITGB1
WNT16-FZD6,SEMA4A-PLXNA3
WNT3-LRP5,SEMA4C-PLXNB2
WNT9B-FZD3,CD99-CD99
WNT16-LRP6,NECTIN3-NECTIN2
WNT4-FZD10,JAM2-JAM2
WNT2-LRP5,DLL3-NOTCH1
WNT3-FZD10,JAG1-NOTCH1
WNT3-FZD9,SELPLG-SELE
WNT6-FZD1,SEMA5B-PLXNA3
WNT6-FZD10,CD80-CTLA4
WNT1-LRP6,EFNA3-EPHA3
WNT16-LRP6,JAM2-ITGB1
WNT16-FZD8,JAM2-ITGB1
WNT2-LRP6,L1CAM-ITGA4
TGFB2-TGFBR1,DLL4-NOTCH2
BMP4-BMPR1B,FCER2-ITGAV
WNT7A-LRP5,JAM2-ITGAV
WNT7A-LRP5,DLL3-NOTCH3
WNT7A-FZD9,EFNB2-EPHB4
WNT10A-FZD7,JAM2-ITGA3
WNT10B-LRP5,LRRC4-NTNG2
WNT10B-FZD5,JAM2-F11R
WNT3-LRP5,SELL-MADCAM1
WNT9A-FZD8,SEMA6D-PLXNA1
WNT10B-LRP6,SEMA6D-PLXNA1
WNT10B-LRP6,SEMA6D-PLXNA1
WNT10A-LRP5,EFNB3-EPHB6
WNT10A-FZD5,ICAM1-SPN
WNT16-LRP5,PTPRM-PTPRM
TGFB3-TGFBR1,CNTN2-CNTNAP2
WNT2B-FZD5,EFNA1-EPHA2
WNT3-FZD6,EFNA5-EPHA1
WNT1-FZD1,EFNA4-EPHA1
WNT1-LRP6,ESAM-ESAM
WNT10A-FZD5,NCAM1-FGFR1
WNT10A-FZD6,LRRC4B-PTPRF
WNT10A-FZD7,CD274-PDCD1
GDF6-BMPR1A,SEMA6D-KDR
WNT10B-FZD5,SEMA6A-PLXNA2
WNT16-FZD10,FCER2-ITGAM
WNT16-FZD5,CSPG4-ITGA3
WNT16-FZD6,ICOSLG-ICOS
WNT9A-FZD4,F11R-F11R
WNT9B-FZD5,ULBP1-HCST
WNT11-FZD3,SEMA7A-ITGA1
SLURP2-CHRNA3,CD80-CD28
SLURP2-CHRNA6,EFNB2-EPHB2
SLURP2-CHRNA7,GP1BA-ITGAM
SLURP2-CHRNA10,MPZL1-MPZL1
SLURP2-CHRNE,NECTIN2-TIGIT
BAG6-NCR3,OCLN-OCLN
LGALS9-CD44,EFNA3-EPHA4
GDF9-BMPR2,LRRC4C-NTNG1
TGFB1-TGFBR1,NRXN1-NLGN2
GDF11-TGFBR1,TIGIT-NECTIN2
MSTN-ACVR1B,MPZ-MPZ
TGFB3-TGFBR2,PVR-TIGIT
INHBB-ACVR2A,CDH2-CDH2
INHBE-ACVR2A,EFNA5-EPHA3
WNT10A-LRP5,EFNB2-EPHA4
WNT10B-FZD7,JAM2-JAM3
WNT2B-LRP5,NRXN2-NLGN1
WNT3-FZD8,NRXN2-NLGN2
WNT9B-LRP5,EFNA1-EPHA8
WNT10B-LRP6,ICOSLG-CD28
WNT2-FZD10,HLA-DOA-CD4
WNT9A-FZD5,DLL4-NOTCH3
WNT9B-FZD6,SEMA6D-TREM2
IL15-IL15RA,SEMA6B-PLXNA2
IL13-IL4R,NFASC-CNTNAP1
IL13-IL13RA2,CNTN1-NRCAM
IL11-IL11RA,EFNA3-EPHA2
SPP1-CD44,JAM3-JAM2
ADIPOQ-ADIPOR1,MAG-MAG
ANGPT2-ITGA5,NECTIN1-CD96
PTN-PTPRZ1,THY1-ITGAM
PENK-OPRM1,EFNA2-EPHA1
SEMA3D-PLXNA3,EFNB3-EPHB3
SEMA3C-PLXNA3,EFNB3-EPHB4
BMP8B-BMPR2,JAM3-F11R
GAS6-AXL,L1CAM-L1CAM
GDNF-RET,NCAM1-NCAM1
ARTN-GFRA1,SEMA4A-PLXNA2
ARTN-RET,SEMA6A-PLXNA4
WNT10A-LRP5,CADM1-CADM1
WNT3-LRP5,CD46-JAG1
WNT7A-LRP5,CDH1-CDH1
WNT9A-LRP5,CLDN11-CLDN11
